Servicio de salud|Categoría|Cargo|Cometido
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DE ATENCIÓN GENERAL PARA APS|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DE ATENCIÓN GENERAL PARA APS|Convenio Programa fortalecimiento RRHH, Convenio Resolutividad, Convenio MAIS, entre otros.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DE ATENCIÓN GENERAL PARA APS|Atención médica para la consulta de morbilidad aguda, morbilidad crónica y controles de patologías asociadas al PSCV (Programa de Salud Cardiovascular) CESFAM Vitacura.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DE ATENCIÓN GENERAL PARA APS|Debe realizar todas las prestaciones, registros e indicaciones asociadas a los programas y/o estrategias.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DE ATENCIÓN GENERAL PARA APS|Solicitud de exámenes médicos según protocolo, flujograma y convenios establecidos en el centro de salud y SSMO.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DE ATENCIÓN GENERAL PARA APS|Registro en ficha electrónica y planilla Excel para REM y SIGGES.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DE ATENCIÓN GENERAL PARA APS|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DE ATENCIÓN GENERAL PARA APS|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO DE ATENCIÓN GENERAL PARA APS|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO PARA RESOLUCIÓN DE LISTAS DE ESPERA Y OTROS CONVENIOS|Apoyo administrativo y técnico para licitaciones de lista espera, convenio clínicas, a razón de prestaciones realizadas en el CESFAM Vitacura.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO PARA RESOLUCIÓN DE LISTAS DE ESPERA Y OTROS CONVENIOS|Apoyo de las distintas licitaciones y convenios que se generen desde la Dirección de Servicios de Salud y Educación (DSSE)
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO PARA RESOLUCIÓN DE LISTAS DE ESPERA Y OTROS CONVENIOS|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO PARA RESOLUCIÓN DE LISTAS DE ESPERA Y OTROS CONVENIOS|Registro en ficha electrónica y planilla Excel para REM y SIGGES
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO PARA RESOLUCIÓN DE LISTAS DE ESPERA Y OTROS CONVENIOS|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ESPECIALISTA EN GINECOLOGÍA|Atención médica para pacientes en Programa Salud Sexual y Reproductiva, pacientes con patología ginecológica y obstétrica y/o con dificultad de traslado físico al nivel secundario.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ESPECIALISTA EN GINECOLOGÍA|Derivación interna según protocolos y flujogramas, además de niveles secundario de atención.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ESPECIALISTA EN GINECOLOGÍA|Derivación hacia otros niveles de la red según normas de derivación del SSMO.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ESPECIALISTA EN GINECOLOGÍA|Realizar consultas gineco-obstétricas y de regulación de fertilidad en casos de difícil manejo a mujeres de 14 y más años bajo control en el Programa Salud Sexual y Reproductiva.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ESPECIALISTA EN GINECOLOGÍA|Solicitud de exámenes médicos según protocolo, flujograma y convenios establecidos en el centro de salud y SSMO.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ESPECIALISTA EN GINECOLOGÍA|Registro en ficha electrónica y planilla Excel para REM y SIGGES
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ESPECIALISTA EN GINECOLOGÍA|Modalidad Presencial, en horarios de atención habitual, extensiones horarias o fines de semana.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO ESPECIALISTA EN GINECOLOGÍA|Apoyo en otras áreas del CESFAM según la contingencia sanitaria nacional o necesidades del establecimiento o Municipalidad.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO OFTALMÓLOGO|Actividades requeridas para responder a las exigencias de los convenios establecidos entre el municipio, SSMO y otras entidades.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO OFTALMÓLOGO|Realizar consultas oftalmológicas a los beneficiarios del CESFAM Vitacura, para dar respuesta a los convenios establecidos entre el SSMO y la Municipalidad de Vitacura.
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO OFTALMÓLOGO|Atención y evaluación médica para pacientes que acudan a consulta oftalmológica (UAPO).
CESFAM|CATEGORÍA A - UNIDAD DE MEDICINA Y FARMACIA|MÉDICO OFTALMÓLOGO|Realizar receta médica para lentes ópticos en caso de que corresponda.
